(0): {'reflection': 0.2674558276668465, 'contraction': -1.918805335259326, 'expansion': -4.211778468626261}
(1): {'reflection': 0.6924488356778519, 'contraction': -0.04313101109159767, 'expansion': -1.6190015402396831}
(2): {'reflection': 1.5211611371562905, 'contraction': -2.957496467728779, 'expansion': -4.7483760500896235}
(3): {'reflection': 4.097759763291101, 'contraction': -4.940221616101438, 'expansion': -4.504649516983127}
(4): {'reflection': 0.9145918559897886, 'contraction': -3.936290481778078, 'expansion': -4.335114630455436}
(5): {'reflection': 4.445986744295444, 'contraction': -4.325089405001709, 'expansion': -2.653690575973264}
(6): {'reflection': 0.8859241931242073, 'contraction': -4.482074685249003, 'expansion': -3.1851352616812556}
(7): {'reflection': 3.975434990664892, 'contraction': -3.7597237149344083, 'expansion': -4.908986413322182}
(8): {'reflection': 0.33550287063701556, 'contraction': -3.0840067937871622, 'expansion': -2.0463325178759826}
(9): {'reflection': 3.9255032610640606, 'contraction': -3.826659723859886, 'expansion': -1.0363874256034507}
(10): {'reflection': 2.416381264095668, 'contraction': -0.12361668664556813, 'expansion': -1.1195930242154768}
(11): {'reflection': 2.2761601393656674, 'contraction': -0.005201786357492619, 'expansion': -1.216646787326068}
(12): {'reflection': 2.805640933948239, 'contraction': -0.06585121986739503, 'expansion': -1.8330243245449733}
(13): {'reflection': 2.9374753913332183, 'contraction': -1.0883800446716956, 'expansion': -1.7672126930565097}
(14): {'reflection': 1.9250504436507077, 'contraction': -0.932499596728255, 'expansion': -2.658529951346434}
(15): {'reflection': 1.9791832693166025, 'contraction': -1.0086576279861403, 'expansion': -3.0840729327755514}
(16): {'reflection': 3.238468278648205, 'contraction': -1.0059574532354496, 'expansion': -3.778087454440837}
(17): {'reflection': 1.7059055440932824, 'contraction': -1.9011542127859884, 'expansion': -2.4636189724226654}
(18): {'reflection': 1.3574905528332337, 'contraction': -0.7631398234812994, 'expansion': -3.788947585160324}
(19): {'reflection': 3.4107140448844318, 'contraction': -1.6465077318980068, 'expansion': -2.329367350145702}
(20): {'reflection': 2.3743493576794474, 'contraction': -0.6115972318937344, 'expansion': -1.2902962568941487}
(21): {'reflection': 3.303237724131601, 'contraction': -1.4080661874881633, 'expansion': -3.5788875244466003}
(22): {'reflection': 4.85863987906931, 'contraction': -2.3582738279692523, 'expansion': -3.590319923655214}
(23): {'reflection': 2.8247944271730834, 'contraction': -0.5954252641086315, 'expansion': -3.943709573464628}
(24): {'reflection': 3.3052671951444594, 'contraction': -0.44266777743052144, 'expansion': -2.8977352171149895}
(25): {'reflection': 2.078603384612221, 'contraction': -0.4363931533044107, 'expansion': -2.782038523484924}
(26): {'reflection': 2.5937333818277866, 'contraction': -0.47981752900363317, 'expansion': -3.374507751216308}
(27): {'reflection': 3.640450088258916, 'contraction': -1.2140991682426063, 'expansion': -2.186487213732987}
(28): {'reflection': 1.241489303375241, 'contraction': -0.2694686329728131, 'expansion': -2.8204237895599644}
(29): {'reflection': 1.764353479378664, 'contraction': -2.472594732663052, 'expansion': -2.4816221236704985}
(30): {'reflection': 1.8398596518518202, 'contraction': -2.467533534142113, 'expansion': -2.666180578617989}
(31): {'reflection': 2.4556104936092553, 'contraction': -1.588600176781413, 'expansion': -2.994843626743194}
